WMO Region (Region Number),Country
"NORTH AMERICA, CENTRAL AMERICA AND THE CARIBBEAN (Region IV)",Dominican Republic
"NORTH AMERICA, CENTRAL AMERICA AND THE CARIBBEAN (Region IV)",El Salvador
"NORTH AMERICA, CENTRAL AMERICA AND THE CARIBBEAN (Region IV)",Grenada
"NORTH AMERICA, CENTRAL AMERICA AND THE CARIBBEAN (Region IV)",Guatemala
"NORTH AMERICA, CENTRAL AMERICA AND THE CARIBBEAN (Region IV)",Haiti
"NORTH AMERICA, CENTRAL AMERICA AND THE CARIBBEAN (Region IV)",Honduras
"NORTH AMERICA, CENTRAL AMERICA AND THE CARIBBEAN (Region IV)",Jamaica
"NORTH AMERICA, CENTRAL AMERICA AND THE CARIBBEAN (Region IV)",Mexico
"NORTH AMERICA, CENTRAL AMERICA AND THE CARIBBEAN (Region IV)",Nicaragua
"NORTH AMERICA, CENTRAL AMERICA AND THE CARIBBEAN (Region IV)",Panama
"NORTH AMERICA, CENTRAL AMERICA AND THE CARIBBEAN (Region IV)",Saint Kitts and Nevis
"NORTH AMERICA, CENTRAL AMERICA AND THE CARIBBEAN (Region IV)",Saint Lucia
"NORTH AMERICA, CENTRAL AMERICA AND THE CARIBBEAN (Region IV)",Saint Vincent and the Grenadines
"NORTH AMERICA, CENTRAL AMERICA AND THE CARIBBEAN (Region IV)",Trinidad and Tobago
"NORTH AMERICA, CENTRAL AMERICA AND THE CARIBBEAN (Region IV)",United States of America
SOUTH-WEST PACIFIC (Region V),Australia
SOUTH-WEST PACIFIC (Region V),Brunei Darussalam
SOUTH-WEST PACIFIC (Region V),Cook Islands
SOUTH-WEST PACIFIC (Region V),Fiji
SOUTH-WEST PACIFIC (Region V),Indonesia
SOUTH-WEST PACIFIC (Region V),Kiribati
SOUTH-WEST PACIFIC (Region V),Malaysia
SOUTH-WEST PACIFIC (Region V),Marshall Islands
SOUTH-WEST PACIFIC (Region V),"Micronesia, Federated States of"
SOUTH-WEST PACIFIC (Region V),Nauru
SOUTH-WEST PACIFIC (Region V),New Zealand
SOUTH-WEST PACIFIC (Region V),Niue
SOUTH-WEST PACIFIC (Region V),Palau
SOUTH-WEST PACIFIC (Region V),Papua New Guinea
SOUTH-WEST PACIFIC (Region V),Philippines
SOUTH-WEST PACIFIC (Region V),Singapore
SOUTH-WEST PACIFIC (Region V),Samoa
SOUTH-WEST PACIFIC (Region V),Solomon Islands
SOUTH-WEST PACIFIC (Region V),Timor-Leste
SOUTH-WEST PACIFIC (Region V),Tonga
SOUTH-WEST PACIFIC (Region V),Tuvalu
SOUTH-WEST PACIFIC (Region V),Vanuatu
EUROPE (Region VI),Albania
EUROPE (Region VI),Andorra
EUROPE (Region VI),Armenia
EUROPE (Region VI),Austria
EUROPE (Region VI),Azerbaijan
EUROPE (Region VI),Belarus
EUROPE (Region VI),Belgium
EUROPE (Region VI),Bosnia and Herzegovina
EUROPE (Region VI),Bulgaria
EUROPE (Region VI),Croatia
EUROPE (Region VI),Cyprus
EUROPE (Region VI),Czech Republic
EUROPE (Region VI),Denmark
EUROPE (Region VI),Estonia
EUROPE (Region VI),Finland
EUROPE (Region VI),France
EUROPE (Region VI),Georgia
EUROPE (Region VI),Germany
EUROPE (Region VI),Greece
EUROPE (Region VI),Hungary
EUROPE (Region VI),Iceland
EUROPE (Region VI),Ireland
EUROPE (Region VI),Israel
EUROPE (Region VI),Italy
EUROPE (Region VI),Jordan
EUROPE (Region VI),Latvia
EUROPE (Region VI),Lebanon
EUROPE (Region VI),Liechtenstein
EUROPE (Region VI),Lithuania
EUROPE (Region VI),Luxembourg
EUROPE (Region VI),Malta
EUROPE (Region VI),Monaco
EUROPE (Region VI),Montenegro
EUROPE (Region VI),Netherlands
EUROPE (Region VI),Norway
EUROPE (Region VI),Poland
EUROPE (Region VI),Portugal
EUROPE (Region VI),Republic of Moldova
EUROPE (Region VI),Romania
EUROPE (Region VI),Russian Federation
EUROPE (Region VI),San Marino
EUROPE (Region VI),Serbia
EUROPE (Region VI),Slovakia
EUROPE (Region VI),Slovenia
EUROPE (Region VI),Spain
EUROPE (Region VI),Sweden
EUROPE (Region VI),Switzerland
EUROPE (Region VI),Syrian Arab Republic
EUROPE (Region VI),"Macedonia, The former Yugoslav Republic of"
EUROPE (Region VI),Turkey
EUROPE (Region VI),Ukraine
EUROPE (Region VI),United Kingdom of Great Britain & Northern Ireland
